review/score,review/text,authors,publisher,publishedDate,categories,Price,conteo,review_helpfulness_up,review_helpfulness_total
5.0,520,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,408,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,250,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,81,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,344,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,385,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,109,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
4.0,1469,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,126,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,470,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
4.0,138,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,149,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
4.0,93,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
4.0,173,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,109,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,298,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,145,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
4.0,161,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,166,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,96,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,119,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,140,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
4.0,157,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,349,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,86,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,771,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,143,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,103,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,101,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,100,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,456,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,132,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,114,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,536,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
4.0,126,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,100,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,160,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,218,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,125,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,104,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,612,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,6,7
2.0,505,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,13,17
5.0,328,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,3,3
5.0,294,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,3,3
5.0,924,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,3,3
5.0,237,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,3,3
5.0,1952,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,5,6
5.0,1307,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,5,6
5.0,342,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,2,2
4.0,551,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,2,2
5.0,215,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,138,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,358,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,235,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
4.0,255,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,112,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,451,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,113,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,191,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
5.0,145,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
4.0,240,0.611111111111111,0.13043478260869565,2005,0.36363636363636365,10.19,315,0,0
